platform,product_id,title,brand,category,current_price,original_price,discount,rating,reviews_count,availability,seller,express_delivery,platform_badge,sponsored,main_image,all_images,description,weight,dimensions,model_number,country_of_origin,warranty,tech_specs,variations,ships_from,delivery_date,product_url,scraped_at
jumia,,"Dobe Dual Shock Charging Station for PS4/PS4 Slim Controller Charger Dock with Modern Design LED Indicator and USB Cable, Black",Dobe,Video Games,155.0 EGP,,,,,In Stock,Compu Toucheg,,,,https://eg.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/52/9002431/1.jpg?6903,https://eg.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/52/9002431/1.jpg?6903 | https://eg.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/52/9002431/2.jpg?6903 | https://eg.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/52/9002431/3.jpg?6903 | https://eg.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/52/9002431/4.jpg?6903 | https://eg.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/52/9002431/5.jpg?6903,"Dobe Dual Shock Charging Station for PS4/PS4 Slim Controller Charger Dock with Modern Design LED Indicator and USB Cable, Black",,,,,,"{""SKU"": ""DO871EA2J16KZNAFAMZ""}",,Free deliveryto 6th of October,,https://www.jumia.com.eg/dual-shock-charging-station-for-ps4ps4-slim-controller-charger-dock-with-modern-design-led-indicator-and-usb-cable-black-dobe-mpg3906551.html,2026-03-28T02:58:55.282578
jumia,133971287,"2-in-1 Self-Wringing Microfiber Floor Mop, 360° Rotatable Adjustable Handle, Wet and Dry Cleaning, Rich Green, for Bathroom, Office, Home",,Video Games,149.0 EGP,250.0 EGP,40%,5,2,In Stock,Mr-M,,,,https://eg.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/78/2179331/1.jpg?7695,https://eg.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/78/2179331/1.jpg?7695 | https://eg.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/78/2179331/2.jpg?7695 | https://eg.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/78/2179331/3.jpg?7696 | https://eg.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/78/2179331/4.jpg?7696 | https://eg.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/78/2179331/5.jpg?7696 | https://eg.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/78/2179331/6.jpg?7696 | https://eg.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/78/2179331/7.jpg?7696 | https://eg.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/78/2179331/8.jpg?7696,"DUAL FUNCTIONALITY: 2-in-1 design allows for both wet and dry cleaning, making it versatile for various cleaning tasks and surfacesSELF-WRINGING MECHANISM: Features an innovative self-wringing system that efficiently removes excess water from the mop head without manual squeezing360-DEGREE ROTATION: Swivel head design enables complete manoeuvrability, reaching corners and cleaning under furniture with easeADJUSTABLE HANDLE: Telescopic handle adjusts to different heights for comfortable use by people of varying heightsMICROFIBER HEAD: High-quality microfiber material effectively traps dust, dirt, and debris while being gentle on all floor types",,,,,,"{""SKU"": ""GE810EA2Y3TU5NAFAMZ"", ""Color"": ""green""}",,Free delivery to 6th of October,Ready for pickup on30 March,https://www.jumia.com.eg/generic-2-in-1-self-wringing-microfiber-floor-mop-360-rotatable-adjustable-handle-wet-and-dry-cleaning-rich-green-for-bathroom-office-home-133971287.html,2026-03-28T02:58:55.282578
jumia,131375885,Dobe Dobe TP4-002 Dual Charging Dock for PS4 Controller,Dobe,Video Games,195.0 EGP,299.0 EGP,35%,5,2,In Stock,EGYTECH1,,,,https://eg.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/58/8573131/1.jpg?9964,https://eg.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/58/8573131/1.jpg?9964 | https://eg.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/58/8573131/2.jpg?7984 | https://eg.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/58/8573131/3.jpg?7984 | https://eg.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/58/8573131/4.jpg?7984 | https://eg.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/58/8573131/5.jpg?7984 | https://eg.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/58/8573131/6.jpg?7984,"Fully charge two controllers simultaneously with this dual USB charger. This docking station comes with a USB cable that quickly sends power from your PS4 or PC. The cable allows you to use the controllers while they are still being charged. Its 5V output, with up to 400 mA, helps you charge your PS4 controllers in just four hours. This stand will charge a single controller fully within two hours.",,,TP4-002,China,,"{""SKU"": ""DO871EA2MKV35NAFAMZ"", ""Model"": ""TP4-002"", ""Production Country"": ""China"", ""Color"": ""Black"", ""Main Material"": ""ABS""}",,Free deliveryto 6th of October,,https://www.jumia.com.eg/dobe-dobe-tp4-002-dual-charging-dock-for-ps4-controller-131375885.html,2026-03-28T02:58:55.282578
jumia,128957032,PS1 PS2 to USB Controller Converter Cable for PC Laptop - Blue,,Video Games,174.73 EGP,,,,,In Stock,EL TERND,,,,https://eg.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/23/0759821/1.jpg?9285,https://eg.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/23/0759821/1.jpg?9285 | https://eg.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/23/0759821/2.jpg?9285 | https://eg.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/23/0759821/3.jpg?9285 | https://eg.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/23/0759821/4.jpg?9285 | https://eg.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/23/0759821/5.jpg?9285 | https://eg.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/23/0759821/6.jpg?9285,"Product Description* Works with wired controllers for Sony PlayStation 1, PlayStation 2, PlayStation One, PlayStation X* Does not support the actual vibration function of DualShock and DualShock 2* Switch digital/analog mode by pressing the ""Analog"" button* Easy and convenient to use, just plug the USB port into your computer or laptop and install the driver, then it works perfectly!* Note: The controller must be installed before using the adapter, and the button mapping must be configured before playing games* Supports two wired controllersIf you are looking for other styles and designs, you can visit our store on Jumia, just click on the seller's name (EL-TERND) and you will find it at the best price",,,os631-EL TERND,China,,"{""SKU"": ""GE810EA219Y1ANAFAMZ"", ""Model"": ""os631-EL TERND"", ""Production Country"": ""China"", ""Color"": ""Blue"", ""Main Material"": ""N/A""}",,Free deliveryto 6th of October,,https://www.jumia.com.eg/generic-ps1-ps2-to-usb-controller-converter-cable-for-pc-laptop-blue-128957032.html,2026-03-28T02:58:55.282578
jumia,133881245,"Shatoora Ergonomic Thumbstick Grips, Non-Slip Silicone Covers For All Gaming Console Controller, 8 Pieces, Black",Shatoora,Video Games,199.0 EGP,300.0 EGP,34%,,,In Stock,TASNEEM STORE,,,,https://eg.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/54/2188331/1.jpg?3652,https://eg.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/54/2188331/1.jpg?3652 | https://eg.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/54/2188331/2.jpg?3652 | https://eg.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/54/2188331/3.jpg?3652 | https://eg.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/54/2188331/4.jpg?3652 | https://eg.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/54/2188331/5.jpg?3652 | https://eg.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/54/2188331/6.jpg?3652,"Improved Comfort & Control: Ergonomic design reduces hand fatigue and enhances joystick handling.Convex & Concave Design: Offers two textures to suit various gameplay needs.Non-Slip & Sweat-Free Grip: High-quality silicone resists slipping, even during intense play.Protects Your Joystick: Prevents wear and damage, extending the life of your gamepad.Universal Compatibility: Works with PlayStation, Xbox, and Switch Pro controllers.",,,B0FFKZ5P1S,China,,"{""SKU"": ""SH466EC2JTG0HNAFAMZ"", ""Model"": ""B0FFKZ5P1S"", ""Production Country"": ""China"", ""Color"": ""Black"", ""Main Material"": ""Silicone""}",,Free deliveryto 6th of October,,https://www.jumia.com.eg/shatoora-ergonomic-thumbstick-grips-non-slip-silicone-covers-for-all-gaming-console-controller-8-pieces-black-133881245.html,2026-03-28T02:58:55.282578
jumia,133526328,Protective Cover Compatible with PlayStation 5 - High Shock and Drop Protection,,Video Games,89.0 EGP,250.0 EGP,64%,,,In Stock,ps global world,,,,https://eg.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/82/3625331/1.jpg?9046,https://eg.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/82/3625331/1.jpg?9046 | https://eg.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/82/3625331/2.jpg?9046 | https://eg.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/82/3625331/3.jpg?9046 | https://eg.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/82/3625331/4.jpg?9046,"   Compatible Devices: PlayStation 5  Material: Silicone  Design: Hydrographic coating, non-slip surface  Style: Graphical skull theme  Special Features: Water-resistant  ",,,,,,"{""SKU"": ""GE810EC30KNTXNAFAMZ""}",,Free deliveryto 6th of October,,https://www.jumia.com.eg/generic-protective-cover-compatible-with-playstation-5-high-shock-and-drop-protection-133526328.html,2026-03-28T02:58:55.282578
jumia,133633940,"Earldom 3.5mm Audio Cable ET-AUX24, 1m",Earldom,Video Games,87.0 EGP,196.0 EGP,56%,,,In Stock,Update Stores Marketplace,,,,https://eg.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/04/9336331/1.jpg?0814,https://eg.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/04/9336331/1.jpg?0814 | https://eg.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/04/9336331/2.jpg?0814 | https://eg.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/04/9336331/3.jpg?0814,"Length: 1 meter – perfect for both home and in-car useMaterial: Durable TPE + ABS for flexibility and resistance to wearConnector Type: Lightning to 3.5mm male jackFunction: Ideal for connecting iPhones to car audio systems, headphones, or speakersCompact Size: Product dimensions – 70mm x 20mm x 175mm",,,ET-AUX24,China,<p>6اكتوبر الحصري مول دياموند الدور التاني بعد الارضي&nbsp;محل&nbsp;ابديت</p>,"{""SKU"": ""EA429EA1QH3B5NAFAMZ"", ""Model"": ""ET-AUX24"", ""Production Country"": ""China"", ""Size (L x W x H cm)"": ""70mm*20mm*175mm"", ""Color"": ""Silver"", ""Main Material"": ""TPE+ABS"", ""From the Manufacturer"": ""<p>Made of high-precision and high-performance&nbsp;materials&nbsp;</p>"", ""Warranty Address"": ""<p>6اكتوبر الحصري مول دياموند الدور التاني بعد الارضي&nbsp;محل&nbsp;ابديت</p>"", ""Warranty Type"": ""Service Center - Giza""}",,Free deliveryto 6th of October,,https://www.jumia.com.eg/earldom-3.5mm-audio-cable-et-aux24-1m-133633940.html,2026-03-28T02:58:55.282578
jumia,134150216,Interactive Steering Wheel Toy Driving Simulator for Kids Ages 3+ – Pink & Blue – Pretend Play with Lights and Buttons – Safe Durable Design – Enhances Motor Skills – Easy to Mount – Fun Educational Gift for Boys and Girls,,Video Games,170.0 EGP,250.0 EGP,32%,,,In Stock,Bebo toys,,,,https://eg.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/61/2051431/1.jpg?7359,https://eg.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/61/2051431/1.jpg?7359 | https://eg.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/61/2051431/2.jpg?7359 | https://eg.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/61/2051431/3.jpg?7359 | https://eg.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/61/2051431/4.jpg?7359 | https://eg.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/61/2051431/5.jpg?7359 | https://eg.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/61/2051431/6.jpg?7359 | https://eg.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/61/2051431/7.jpg?7359 | https://eg.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/61/2051431/8.jpg?7359,"REALISTIC PLAY — Pretend driving with interactive wheel and buttons.LIGHTS INCLUDED — Bright light effects engage kids in play.SAFE DESIGN — Non-toxic durable build for everyday use.EASY TO MOUNT — Suction cups or base keep wheel stable.SKILL DEVELOPMENT — Improves hand-eye coordination and motor skills.AGE 3+ — Suitable for toddlers and young children.PERFECT GIFT — Great for birthdays, holidays, and role-play fun.",,,,,,"{""SKU"": ""GE810EC2NZ6ONNAFAMZ""}",,Free deliveryto 6th of October,,https://www.jumia.com.eg/generic-interactive-steering-wheel-toy-driving-simulator-for-kids-ages-3-pink-blue-pretend-play-with-lights-and-buttons-safe-durable-design-enhances-motor-skills-easy-to-mount-fun-educational-gift-for-boys-and-girls-134150216.html,2026-03-28T02:58:55.282578
jumia,131423243,Dobe Dobe TP5-0559 Silicone Protective Case for PS5 Controller - Dark Green,Dobe,Video Games,199.0 EGP,299.0 EGP,33%,5,1,In Stock,EGYTECH1,,,,https://eg.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/34/2324131/1.jpg?8089,https://eg.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/34/2324131/1.jpg?8089 | https://eg.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/34/2324131/2.jpg?8089 | https://eg.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/34/2324131/3.jpg?8089," Brand: DobeCover Type: Gaming Controller CoverCompatible With: Game Consoles & ControllerCompatible With Model: PS5 ControllerMaterial: SiliconeKey Features:- Prevents slipping, Protect your console from bumps and scratches.- Make your gamepad console safe, new and fashionable. Easy to install and remove.- Anti-sweat and non-slip design with particles.Model Number: TP5-0559Color: Dark Green ",,,,China,,"{""SKU"": ""DO871EC27X2E5NAFAMZ"", ""Production Country"": ""China"", ""Color"": ""Dark Green"", ""Main Material"": ""Silicone""}",,Free deliveryto 6th of October,,https://www.jumia.com.eg/dobe-dobe-tp5-0559-silicone-protective-case-for-ps5-controller-dark-green-131423243.html,2026-03-28T02:58:55.282578
jumia,130855928,"Mini USB-Type A Cable for PlayStation 3 Controllers, MP3 Players, Bluetooth Devices, Dash Cams, and Canon Cameras",,Video Games,79.0 EGP,,,5,2,In Stock,magdy electronic,,,,https://eg.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/82/9558031/1.jpg?2654,https://eg.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/82/9558031/1.jpg?2654 | https://eg.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/82/9558031/2.jpg?2654 | https://eg.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/82/9558031/3.jpg?2654 | https://eg.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/82/9558031/4.jpg?2654 | https://eg.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/82/9558031/5.jpg?2654," Mini USB-Type A Cable, Charger Cord for PlayStation 3 Controllers, MP3 Players, Bluetooth charging cable, Dash Cam and Canon ",,,,,,"{""SKU"": ""GE810EA30XDLNNAFAMZ"", ""Color"": ""اسود""}",,Free deliveryto 6th of October,,https://www.jumia.com.eg/generic-mini-usb-type-a-cable-for-playstation-3-controllers-mp3-players-bluetooth-devices-dash-cams-and-canon-cameras-130855928.html,2026-03-28T02:58:55.282578
