platform,product_id,title,brand,category,current_price,original_price,discount,rating,reviews_count,availability,seller,express_delivery,platform_badge,sponsored,main_image,all_images,description,weight,dimensions,model_number,country_of_origin,warranty,tech_specs,variations,ships_from,delivery_date,product_url,scraped_at
noon,Z03A52897CBFFDD892A91Z,Custom LUCID USB Charging Multifunctional Waterproof Backpack Diaper Bag for Baby - Black,LUCID,Women's Watches,1390 EGP,1890 EGP,26%,,,In Stock,Noon,,,,https://f.nooncdn.com/p/4b4cbb502fbc5bada1644eb5125c1129|pzsku/Z03A52897CBFFDD892A91Z/45/1770537196/0952fff1-2d8a-4314-aba8-e29b2c4bd5d8.jpg,https://f.nooncdn.com/p/4b4cbb502fbc5bada1644eb5125c1129|pzsku/Z03A52897CBFFDD892A91Z/45/1770537196/0952fff1-2d8a-4314-aba8-e29b2c4bd5d8.jpg,,,,,,,,,,,https://www.noon.com/egypt-en/custom-lucid-usb-charging-multifunctional-waterproof-backpack-diaper-bag-for-baby-black/p/?o=Z03A52897CBFFDD892A91Z,2026-03-28T20:19:54.795055
noon,N32399292A,Men's Enticer Series Water Resistant Analog Watch MTP-VT01L-1BUDF - 40 mm - Black,CASIO,Women's Watches,1333 EGP,2350 EGP,43%,,,In Stock,Noon,,,,https://f.nooncdn.com/p/pnsku/N32399292A/45/_/1767607908/e71adbcd-9f73-475f-bad9-db23f1140e9e.jpg,https://f.nooncdn.com/p/pnsku/N32399292A/45/_/1767607908/e71adbcd-9f73-475f-bad9-db23f1140e9e.jpg,,,,,,,,,,,https://www.noon.com/egypt-en/men-s-enticer-series-water-resistant-analog-watch-mtp-vt01l-1budf-40-mm-black/p/?o=N32399292A,2026-03-28T20:19:54.795076
noon,ZA4E5E060FC04E9FA2E25Z,High Waist Sportswear Leggings Pants Wide Leg,Nileton,Women's Watches,425 EGP,699 EGP,39%,,,In Stock,Noon,,,,https://f.nooncdn.com/p/pzsku/ZA4E5E060FC04E9FA2E25Z/45/_/1664363015/12d2257d-7cce-40fc-b411-21a5f9da3603.jpg,https://f.nooncdn.com/p/pzsku/ZA4E5E060FC04E9FA2E25Z/45/_/1664363015/12d2257d-7cce-40fc-b411-21a5f9da3603.jpg,,,,,,,,,,,https://www.noon.com/egypt-en/high-waist-sportswear-leggings-pants-wide-leg/p/?o=ZA4E5E060FC04E9FA2E25Z,2026-03-28T20:19:54.795083
noon,ZC239336AF8784702AE65Z,Plain Isdal Prayer With Tape,Caesar,Women's Watches,458 EGP,468 EGP,2%,,,In Stock,Noon,,,,https://f.nooncdn.com/p/pzsku/ZC239336AF8784702AE65Z/45/_/1676877616/4ed9e346-cb07-4801-953e-1d0dedabf393.jpg,https://f.nooncdn.com/p/pzsku/ZC239336AF8784702AE65Z/45/_/1676877616/4ed9e346-cb07-4801-953e-1d0dedabf393.jpg,,,,,,,,,,,https://www.noon.com/egypt-en/plain-isdal-prayer-with-tape/p/?o=ZC239336AF8784702AE65Z,2026-03-28T20:19:54.795089
noon,ZDE47A68D064A1AF91945Z,Sportswear - Sport Leggings Pants With Wide Leg - High Waist,Nileton,Women's Watches,399 EGP,600 EGP,34%,,,In Stock,Noon,,,,https://f.nooncdn.com/p/pzsku/ZDE47A68D064A1AF91945Z/45/1767808884/f8083546-0739-4552-b5af-b6b5260b2c39.jpg,https://f.nooncdn.com/p/pzsku/ZDE47A68D064A1AF91945Z/45/1767808884/f8083546-0739-4552-b5af-b6b5260b2c39.jpg,,,,,,,,,,,https://www.noon.com/egypt-en/sportswear-sport-leggings-pants-with-wide-leg-high-waist/p/?o=ZDE47A68D064A1AF91945Z,2026-03-28T20:19:54.795094
noon,Z2994DB454F6B7DE45EBBZ,"1 Pair Of Fashionable, Personalized Minimalist Square Glasses Multicolor",Shein,Women's Watches,399 EGP,600 EGP,34%,,,In Stock,Noon,,,,https://f.nooncdn.com/p/pzsku/Z2994DB454F6B7DE45EBBZ/45/1759615569/f66ab020-a2ff-4fc5-9549-cf30f7d4da63.jpg,https://f.nooncdn.com/p/pzsku/Z2994DB454F6B7DE45EBBZ/45/1759615569/f66ab020-a2ff-4fc5-9549-cf30f7d4da63.jpg,,,,,,,,,,,https://www.noon.com/egypt-en/1-pair-of-fashionable-personalized-minimalist-square-glasses-multicolor/p/?o=Z2994DB454F6B7DE45EBBZ,2026-03-28T20:19:54.795100
noon,Z0E5BEAFF5F1E8D4A8BEDZ,Relaxed Fit T-shirt For Men â Cotton - Half Sleeves Crew Neck Tee,Nileton,Women's Watches,315 EGP,460 EGP,32%,,,In Stock,Noon,,,,https://f.nooncdn.com/p/pzsku/Z0E5BEAFF5F1E8D4A8BEDZ/45/_/1718274467/8c4ab96f-2853-479d-b370-009cddc09dc7.jpg,https://f.nooncdn.com/p/pzsku/Z0E5BEAFF5F1E8D4A8BEDZ/45/_/1718274467/8c4ab96f-2853-479d-b370-009cddc09dc7.jpg,,,,,,,,,,,https://www.noon.com/egypt-en/relaxed-fit-t-shirt-for-men-cotton-half-sleeves-crew-neck-tee/p/?o=Z0E5BEAFF5F1E8D4A8BEDZ,2026-03-28T20:19:54.795105
noon,ZF0053E96B3BE4A6E61A8Z,Men Set Of 3 Half Terry L-Shape Sport Socks White-Black-Grey,SAM SOCKS,Women's Watches,,165 EGP,,,,In Stock,Noon,,,,https://f.nooncdn.com/p/pzsku/ZF0053E96B3BE4A6E61A8Z/45/_/1706122293/f8968721-477b-4a5f-b3d1-58eb92122c29.jpg,https://f.nooncdn.com/p/pzsku/ZF0053E96B3BE4A6E61A8Z/45/_/1706122293/f8968721-477b-4a5f-b3d1-58eb92122c29.jpg,,,,,,,,,,,https://www.noon.com/egypt-en/men-set-of-3-half-terry-l-shape-sport-socks-white-black-grey/p/?o=ZF0053E96B3BE4A6E61A8Z,2026-03-28T20:19:54.795121
noon,Z9C478F6AC235A51A60E0Z,Small irregular rectangular sunglasses for UV protection - Black,Shein,Women's Watches,130 EGP,249 EGP,48%,,,In Stock,Noon,,,,https://f.nooncdn.com/p/pzsku/Z9C478F6AC235A51A60E0Z/45/1767808912/6d6fd644-4501-4fee-ac78-5d42a8485292.jpg,https://f.nooncdn.com/p/pzsku/Z9C478F6AC235A51A60E0Z/45/1767808912/6d6fd644-4501-4fee-ac78-5d42a8485292.jpg,,,,,,,,,,,https://www.noon.com/egypt-en/small-irregular-rectangular-sunglasses-for-uv-protection-black/p/?o=Z9C478F6AC235A51A60E0Z,2026-03-28T20:19:54.795129
noon,N48355957V,Men Set Of 6 Ankle Socks Plain Multicolour,SAM SOCKS,Women's Watches,,229 EGP,,,,In Stock,Noon,,,,https://f.nooncdn.com/p/pnsku/N48355957V/45/_/1750244296/cd5be1b0-b783-43bd-bf5c-2f3038e180a9.jpg,https://f.nooncdn.com/p/pnsku/N48355957V/45/_/1750244296/cd5be1b0-b783-43bd-bf5c-2f3038e180a9.jpg,,,,,,,,,,,https://www.noon.com/egypt-en/men-set-of-6-ankle-socks-plain-multicolour/p/?o=N48355957V,2026-03-28T20:19:54.795133
